INFO 2026-06-18 10:45:37,608 basehttp 5584 3988 "GET /api/v1/analytics/customers/ HTTP/1.1" 200 669
INFO 2026-06-18 10:45:37,638 basehttp 5584 1752 "GET /api/v1/analytics/dashboard/ HTTP/1.1" 200 1242
INFO 2026-06-18 10:45:37,659 basehttp 5584 10776 "GET /api/v1/analytics/employees/ HTTP/1.1" 200 108
INFO 2026-06-18 10:45:44,327 basehttp 5584 10776 "OPTIONS /api/v1/ai/insights/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:44,327 basehttp 5584 1752 "OPTIONS /api/v1/ai/project-risks/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:44,464 basehttp 5584 10776 "GET /api/v1/ai/project-risks/ HTTP/1.1" 200 466
INFO 2026-06-18 10:45:44,467 basehttp 5584 1752 "GET /api/v1/ai/insights/ HTTP/1.1" 200 415
INFO 2026-06-18 10:45:53,066 basehttp 5584 1752 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 10:45:53,126 basehttp 5584 1752 "OPTIONS /api/v1/ai/copilot/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:53,250 basehttp 5584 1752 "POST /api/v1/ai/copilot/ HTTP/1.1" 200 390
INFO 2026-06-18 10:45:58,596 basehttp 5584 1752 "OPTIONS /api/v1/notifications/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:58,624 basehttp 5584 1752 "GET /api/v1/notifications/ HTTP/1.1" 200 1131
INFO 2026-06-18 10:46:02,991 basehttp 5584 1752 "OPTIONS /api/v1/notifications/?unread=true HTTP/1.1" 200 0
INFO 2026-06-18 10:46:03,005 basehttp 5584 1752 "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 1131
INFO 2026-06-18 10:46:05,550 basehttp 5584 1752 "OPTIONS /api/v1/notifications/mark-all-read/ HTTP/1.1" 200 0
INFO 2026-06-18 10:46:05,871 basehttp 5584 1752 "POST /api/v1/notifications/mark-all-read/ HTTP/1.1" 200 46
INFO 2026-06-18 10:46:05,905 basehttp 5584 10776 "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 52
INFO 2026-06-18 10:46:05,906 basehttp 5584 1752 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 10:46:10,619 basehttp 5584 1752 "OPTIONS /api/v1/companies/ HTTP/1.1" 200 0
INFO 2026-06-18 10:46:10,848 basehttp 5584 1752 "GET /api/v1/companies/ HTTP/1.1" 200 532
INFO 2026-06-18 11:28:40,913 basehttp 5584 9384 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 11:29:11,237 basehttp 5584 9384 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 11:29:15,437 basehttp 5584 9384 "GET /api/v1/analytics/dashboard/ HTTP/1.1" 200 1242
INFO 2026-06-18 11:29:41,350 basehttp 5584 9384 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 11:30:11,529 basehttp 5584 9384 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 11:30:15,571 basehttp 5584 9384 "GET /api/v1/analytics/dashboard/ HTTP/1.1" 200 1242
INFO 2026-06-18 11:34:30,564 basehttp 5584 9384 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 11:34:32,380 basehttp 5584 12524 "GET /api/v1/auth/profile/ HTTP/1.1" 200 513
INFO 2026-06-18 11:34:32,421 basehttp 5584 10292 "GET /api/v1/crm/stats/ HTTP/1.1" 200 110
INFO 2026-06-18 11:34:32,483 basehttp 5584 8032 "GET /api/v1/auth/profile/ HTTP/1.1" 200 513
INFO 2026-06-18 11:34:32,502 basehttp 5584 9384 "GET /api/v1/crm/customers/?search= HTTP/1.1" 200 3450
